"","name","full_name","lat","long","depth","tect","region","eigen_C","betweenness_C"
"AlSF","AlSF","Alice Springs Field",18.2103,144.7073,3640,"back-arc spreading center","Mariana Trough",0.000339447951800754,0
"Arch","Arch","Archaean",12.939,143.632,3060,"back-arc spreading center","Mariana Trough",0.000339447951800661,0
"Burk","Burk","Burke",18.109,144.432,3660,"back-arc spreading center","Mariana Trough",0.000339447951800847,0
"Chmv","Chmv","Chamorro volcano",20.81,144.705,896,"arc volcano","Mariana Arc",0.0071845529735324,0.5
"Dkkv","Dkkv","Daikoku volcano",21.324,144.194,450,"arc volcano","Mariana Arc",0.00476746929278082,0
"DKK","DKK","Daisan-Kume Knoll",26.302,126.4125,1370,"arc volcano","Ryukyu Arc",0.948923541247805,157.925
"EsDv","EsDv","East Diamante volcano",15.93,145.67,457,"arc volcano","Mariana Arc",0.0184743572709908,56.15
"Frcs","Frcs","Forecast",13.4,143.9166,1470,"back-arc spreading center","Mariana Trough",0.00172950318612228,182
"Ftgy","Ftgy","Futagoyama",24.8674,123.3081,1270,"back-arc spreading center","Okinawa Trough",1,79.2103174603175
"HfAd","HfAd","Hafa Adai",16.957,144.868,3294,"back-arc spreading center","Mariana Trough",0.000339447951800754,0
"Higa","Higa","Higa",26.555,126.2233,1485,"back-arc spreading center","Okinawa Trough",0.926210792055533,1.70753968253968
"HgE","HgE","Higashi-Ensei",28.4393,128.1724,1220,"back-arc spreading center","Okinawa Trough",0.940503507258281,0.222222222222222
"IrbK","IrbK","Irabu Knoll",25.23,124.88,1850,"back-arc spreading center","Okinawa Trough",0.991307532450968,2.1297619047619
"IznC","IznC","Izena Cauldron",27.2667,127.0833,1610,"back-arc spreading center","Okinawa Trough",0.940503507258281,0.222222222222222
"KktS","KktS","Kaikata Seamount",26.7,141.0833,930,"arc volcano","Izu-Bonin Arc",0.0218799708313371,28.7833333333333
"Ks2S","Ks2S","Kasuga 2 Seamount",21.6,143.6167,500,"arc volcano","Mariana Arc",0.00476746929278091,0
"MEK","MEK","Minami-Ensei Knoll",28.3917,127.6417,740,"back-arc spreading center","Okinawa Trough",0.787348118836158,0
"MkyS","MkyS","Mokuyo Seamount",28.32,140.58,1200,"arc volcano","Izu-Bonin Arc",0.0128836850315837,0
"MyjK","MyjK","Myojin Knoll",32.1033,139.8683,1360,"arc volcano","Izu-Bonin Arc",0.101840704802074,177.555555555556
"MyjC","MyjC","Myojinsho Caldera",31.8833,139.95,1110,"arc volcano","Izu-Bonin Arc",0.105135801442589,83.2805555555556
"Nkkv","Nkkv","Nikko volcano",23.0833,142.3333,600,"arc volcano","Mariana Arc",0.00777349732269314,17
"NKIR","NKIR","North Knoll, Iheya Ridge",27.7908,126.8966,1100,"back-arc spreading center","Okinawa Trough",0.991307532450967,2.1297619047619
"NrtE","NrtE","Northwest Eifuku",21.485,144.043,1604,"arc volcano","Mariana Arc",0.0168127830544682,222.95
"NRv","NRv","Northwest Rota-1 volcano",14.601,144.775,599,"arc volcano","Mariana Arc",0.00517616057426602,0
"Prsv","Prsv","Perseverance",15.4802,144.5077,3935,"back-arc spreading center","Mariana Trough",0.000339447951800754,0
"Pika","Pika","Pika",12.9183,143.6483,2990,"back-arc spreading center","Mariana Trough",0.000339447951800661,0
"Saka","Saka","Sakai",27.5481,126.9895,1600,"back-arc spreading center","Okinawa Trough",0.991307532450968,2.1297619047619
"SmnX","SmnX","Seamount X",13.25,144.02,1450,"arc volcano","Mariana Arc",0.00718455297353235,0.5
"Snal","Snal","Snail",12.9533,143.62,2880,"back-arc spreading center","Mariana Trough",0.000339447951800661,0
"SPHK","SPHK","SPOT, Hatoma Knoll",24.855,123.841,1520,"back-arc spreading center","Okinawa Trough",0.991307532450968,2.1297619047619
"SYKI","SYKI","SPOT, Yonaguni Knoll IV",24.849,122.7,1385,"back-arc spreading center","Okinawa Trough",0.940503507258281,0.222222222222222
"SySm","SySm","Suiyo Seamount",28.575,140.6417,1380,"arc volcano","Izu-Bonin Arc",0.0242915999763021,24.5444444444444
"SmsC","SmsC","Sumisu Caldera",31.4667,140.0667,690,"arc volcano","Izu-Bonin Arc",1.51088453375157e-16,0
"TrmH","TrmH","Tarama Hill",25.45388,124.310103,1973,"back-arc spreading center","Okinawa Trough",0.614477060168931,0
"TrmK","TrmK","Tarama Knoll",25.0916,124.5416,1990,"back-arc spreading center","Okinawa Trough",0.926210792055533,1.70753968253968
